x,y,z,mach
27.846591,17.963759,-290.26963,5.0
17.75182,20.360309,-293.9014,5.0
17.941253,23.148539,-295.69544,5.0
23.588584,18.649172,-292.79154,5.0
19.217363,16.652214,-298.26147,5.0
18.592903,12.958493,-298.91714,3.96527
21.92202,15.863059,-299.07046,5.0
20.393184,22.531322,-298.78565,4.92824
23.005576,19.155738,-296.9818,5.0
21.20262,20.882252,-300.79319,4.63953
25.112517,20.561999,-296.69119,5.0
30.457648,15.779485,-298.47498,5.0
28.553956,17.907598,-296.16612,5.0
25.251137,14.511064,-300.75174,2.64632
28.437177,13.256015,-304.92951,2.43517
28.721103,12.881383,-305.01108,2.48737
18.43779,19.758135,-309.58734,3.64837
18.599589,17.646626,-304.20833,4.74617
17.430007,14.608455,-303.7947,5.0
20.946329,12.078187,-305.09176,5.0
20.673099,17.669246,-305.91412,4.84731
23.133945,15.475167,-306.59073,5.0
17.999197,12.360554,-309.07386,5.0
17.559267,15.593173,-312.92983,5.0
23.853345,14.93272,-313.36352,5.0
21.092526,17.654537,-312.15471,4.88805
27.165078,13.612371,-310.6914,5.0
30.83384,11.539195,-313.24451,5.0
26.786213,11.327364,-314.61333,5.0
18.253261,10.747031,-313.88412,5.0
18.79125,6.9886812,-313.34212,5.0
19.404567,9.3542528,-309.8989,5.0
22.295091,11.558472,-313.00783,5.0
21.739718,10.218401,-307.27224,5.0
24.917289,10.712041,-309.08768,5.0
12.381285,-7.9705059,-329.58388,5.0
16.723534,-4.8849768,-326.93405,5.0
12.840382,-3.23379,-329.51747,5.0
6.8208703,-2.5284308,-329.2224,5.0
9.0124986,-6.2025388,-327.86517,5.0
20.972181,-3.7853742,-327.24784,5.0
18.802393,-7.6615073,-334.87463,5.0
17.483494,-6.3940889,-331.63956,5.0
21.114367,-6.4911455,-333.34089,5.0
22.981062,-4.1415082,-330.99638,5.0
27.770818,-5.5754043,-334.5078,4.55283
30.346663,-9.6664881,-336.5666,5.0
21.1995,-11.322689,-337.44111,5.0
22.34947,-10.357027,-339.72991,5.0
18.111074,-12.941227,-341.63939,5.0
23.484285,-14.43485,-342.05035,5.0
28.102437,-8.5688912,-339.57747,5.0
9.4065192,-9.00949,-331.55487,5.0
10.905045,-2.4453031,-330.91392,4.77716
15.453664,-3.5442372,-336.15163,5.0
11.824575,-7.9841005,-335.79594,5.0
12.671006,-8.3455832,-333.81648,5.0
4.2178385,-13.58463,-333.81069,5.0
12.680812,-11.038428,-338.53314,1.83489
15.258437,-14.840793,-340.6793,4.15605
16.427127,-9.4002791,-338.1097,5.0
5.6120651,-21.58104,-342.41005,5.0
18.063382,-16.482285,-340.00002,5.0
21.645671,-18.935553,-344.70687,5.0
26.892295,-17.490626,-343.97767,5.0
29.653115,-17.668358,-342.71002,5.0
26.075728,-21.232038,-347.95041,5.0
24.023166,-21.929151,-345.29211,5.0
28.147456,8.8300806,-318.80581,5.0
24.794715,6.900762,-322.467,5.0
25.668335,7.7273579,-317.18605,5.0
26.462616,11.714699,-318.76124,5.0
21.438409,6.8528467,-317.4468,5.0
19.182151,7.4457714,-319.74273,5.0
18.021484,5.3337057,-329.65074,3.00124
21.633636,2.0728959,-325.66641,3.17829
20.182357,-1.4366283,-327.42836,5.0
17.16391,1.2994522,-327.74259,5.0
17.773661,-1.1931513,-330.65451,5.0
19.13847,3.6498696,-322.91762,5.0
24.546446,4.280347,-319.55552,5.0
25.05591,1.4719477,-323.51356,5.0
26.402889,4.0479016,-325.52823,5.0
26.062356,-1.8177229,-331.5727,5.0
14.945092,1.3970659,-333.40374,5.0
9.6137811,1.0930817,-327.71941,5.0
9.6235871,1.3560593,-325.55676,5.0
8.3688723,3.8064303,-327.18499,4.88168
13.841033,-2.1101182,-326.6002,5.0
13.185372,4.0085664,-325.20062,3.6219
14.197613,2.9755996,-324.97286,5.0
15.434498,8.8801132,-325.38025,4.85188
15.46659,5.8738125,-321.28627,5.0
12.739648,8.1316301,-318.53348,3.69201
9.7880595,6.1623078,-317.95537,5.0
9.0169559,6.3309031,-320.66627,5.0
6.4281869,10.160903,-318.2812,5.0
4.4331235,5.0762998,-324.02213,3.50557
13.341376,12.517783,-319.52298,4.8081
-2.6708354,6.2891164,-317.15128,5.0
-5.2631698,5.3884184,-319.27784,5.0
-9.6767345,-0.98600074,-326.05508,3.07147
-7.1864715,0.29857755,-322.96799,2.51418
-3.4521907,3.8963553,-318.09087,1.57658
-11.692301,-19.578623,-338.02992,2.94603
-12.36802,-17.889103,-340.34144,2.42223
-6.4220538,-20.671762,-335.6912,5.0
2.8588241,-18.233426,-339.33544,4.32653
-2.5692102,-20.909222,-343.15085,2.41221
-5.1232123,-18.794147,-340.40429,3.47423
-10.71349,-22.424686,-341.65321,2.92417
-8.3458008,-21.122167,-343.59657,4.61045
-10.22141,-14.845584,-340.20594,2.72223
-9.1097728,-11.093475,-335.23834,3.36504
-5.5337246,-6.0852018,-333.33644,1.94328
-9.5095878,-7.1858073,-334.12136,2.94906
-11.907586,-4.4591984,-331.42873,3.59018
-15.702041,-6.7547916,-329.43367,4.4762
-13.118174,-9.4645748,-325.95836,5.0
