#id,x,y,z,mvir,Name,SGX,SGY,SGZ
443,89.86824,358.34018,143.27852,3.5157663e14,,,,
444,437.68674,269.25946,253.0645,3.096152e14,,,,
445,418.3465,56.379745,138.0522,3.01424e14,,,,
446,348.71106,23.955914,13.283852,3.0244338e14,,,,
447,86.2783,42.567585,329.3956,2.7442969e14,,,,
448,201.14635,109.76717,269.94098,2.5462073e14,,,,
449,342.49808,335.76678,42.621536,3.27281e14,,,,
450,304.0549,191.65805,164.05624,3.1814007e14,,,,
451,343.48526,17.376766,9.897751,3.3161513e14,,,,
452,117.00982,278.25528,195.88934,3.3939808e14,,,,
453,226.74329,255.35495,235.88708,3.2113618e14,,,,
454,35.688335,368.28754,470.1935,2.02683e14,,,,
455,86.035225,360.2596,75.80664,3.0787456e14,,,,
456,470.98624,314.72604,179.75024,2.4510498e14,,,,
457,280.01035,435.5534,497.34933,3.4915554e14,,,,
458,64.87594,240.15152,236.14507,3.2015958e14,,,,
459,429.79993,272.57065,144.81982,3.1100167e14,,,,
460,341.33392,403.55063,98.15906,2.2699051e14,,,,
461,337.74207,74.624344,373.6578,3.3507785e14,,,,
462,51.5586,43.18696,21.462341,3.062576e14,,,,
